portfolio,agency,program,scheme,value12_13,diff_percent,difference,value13_14,value14_15,value15_16,value16_17,source
Legislative Branch,Legislative Branch,"Receipts, Central fiscal operations",Central fiscal operations,0,0,0,0,0,0,0,
Legislative Branch,Legislative Branch,"Receipts, Central fiscal operations",Other interest,0,,0,0,0,0,0,
Legislative Branch,Legislative Branch,Charges for services to trust funds,Central fiscal operations,0,,0,0,0,0,0,
Legislative Branch,Senate,Senate,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Compensation of Members, Senate",Legislative functions,23000,,1000,24000,24000,24000,24000,
Legislative Branch,Senate,Mileage of the Vice President and Senators,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Expense allowances of the Vice President, President Pro Tempore, Majority and Minority Leaders and Majority and Minority Whips",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Representation allowances for the Majority and Minority Leaders,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Salaries, Officers and Employees",Legislative functions,165000,,42000,207000,184000,189000,193000,
Legislative Branch,Senate,Payments to widows and heirs of deceased members of Congress,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Miscellaneous Items,Legislative functions,15000,,51000,66000,20000,21000,21000,
Legislative Branch,Senate,Secretary of the Senate,Legislative functions,6000,,9000,15000,6000,6000,6000,
Legislative Branch,Senate,Sergeant at Arms and Doorkeeper of the Senate,Legislative functions,157000,,71000,228000,145000,149000,152000,
Legislative Branch,Senate,Inquiries and Investigations,Legislative functions,131000,,15000,146000,134000,138000,140000,
Legislative Branch,Senate,Expenses of United States Senate Caucus on International Narcotics Control,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Senators' Official Personnel and Office Expense Account,Legislative functions,388000,,82000,470000,394000,404000,412000,
Legislative Branch,Senate,Official mail costs,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Stationery (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Stationery (revolving fund),Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Automobiles and maintenance,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Office of Senate Legal Counsel,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Expense allowances of the Secretary of the Senate, Sergeant at Arms, and Doorkeeper of the Senate and secretaries for the majority and for the minority of the Senat",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Joint Study Panel on Social Security Administration, Senate",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Office of Senate fair employment practices,Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,"Settlement and awards reserve, Senate",Legislative functions,0,,0,0,0,0,0,
Legislative Branch,Senate,Office of the Legislative Counsel of the Senate,Legislative functions,7000,,0,7000,7000,7000,7000,
Legislative Branch,Senate,"Congressional Use of Foreign Currency, Senate",Legislative functions,6000,,-2000,4000,6000,6000,6000,
Legislative Branch,Senate,Senate restaurant fund (revolving fund),Legislative functions,0,,0,0,0,0,0,
